year,id_,incom16,income,rincome,happy,mntlhlth
2002,1350,AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,7
2002,1351,FAR BELOW AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,7
2002,1355,AVERAGE,"$15,000 to $19,999",$10000 - 14999,3,5
2002,1356,AVERAGE,"$25,000 or more",$25000 OR MORE,1,7
2002,1362,AVERAGE,"$25,000 or more",$25000 OR MORE,2,4
2002,1422,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1455,BELOW AVERAGE,"$5,000 to $5,999",$1000 TO 2999,2,1
2002,1456,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,7
2002,1459,AVERAGE,"$20,000 to $24,999",$15000 - 19999,2,5
2002,1460,AVERAGE,"$25,000 or more",$15000 - 19999,2,7
2002,1468,AVERAGE,"$25,000 or more",$15000 - 19999,3,3
2002,1493,BELOW AVERAGE,.r:  Refused,.r:  Refused,2,5
2002,1506,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1507,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,1517,AVERAGE,"$15,000 to $19,999",$15000 - 19999,2,12
2002,1518,BELOW AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,2
2002,1527,AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,1531,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1535,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,1537,FAR ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,6
2002,1567,BELOW AVERAGE,"$20,000 to $24,999",$20000 - 24999,2,3
2002,1574,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1575,AVERAGE,"$25,000 or more",$25000 OR MORE,3,26
2002,1577,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1587,AVERAGE,"$10,000 to $14,999",$8000 TO 9999,3,2
2002,1593,AVERAGE,"$25,000 or more",$1000 TO 2999,2,3
2002,1597,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,1601,AVERAGE,"$8,000 to $9,999",$8000 TO 9999,2,1
2002,1603,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,5
2002,1606,ABOVE AVERAGE,"$25,000 or more",$20000 - 24999,2,5
2002,1635,.i:  Inapplicable,"$25,000 or more",.i:  Inapplicable,3,15
2002,1681,.i:  Inapplicable,"$10,000 to $14,999",.i:  Inapplicable,2,2
2002,1684,AVERAGE,"$15,000 to $19,999",$15000 - 19999,2,14
2002,1690,FAR BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,2
2002,1712,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,1713,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,1715,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,1719,AVERAGE,"$25,000 or more",$5000 TO 5999,2,4
2002,1731,BELOW AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,1
2002,1753,AVERAGE,"$25,000 or more",$25000 OR MORE,1,28
2002,1763,AVERAGE,"$10,000 to $14,999",$10000 - 14999,3,5
2002,1777,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1780,.i:  Inapplicable,"$5,000 to $5,999",.i:  Inapplicable,3,4
2002,1795,.i:  Inapplicable,"$5,000 to $5,999",.i:  Inapplicable,2,2
2002,1806,AVERAGE,"$25,000 or more",$25000 OR MORE,1,1
2002,1807,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2002,1810,AVERAGE,"$25,000 or more",$25000 OR MORE,2,15
2002,1833,AVERAGE,"$25,000 or more",$1000 TO 2999,2,7
2002,1834,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,1851,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,1,5
2002,1860,AVERAGE,"$25,000 or more",$25000 OR MORE,1,15
2002,1865,FAR ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1871,AVERAGE,"$25,000 or more",$15000 - 19999,3,2
2002,1875,FAR ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,3,2
2002,1883,ABOVE AVERAGE,"$25,000 or more",.d:  Do not Know/Cannot Choose,3,5
2002,1895,FAR ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,3,5
2002,1899,FAR BELOW AVERAGE,.r:  Refused,.r:  Refused,2,14
2002,1907,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,1923,BELOW AVERAGE,"$25,000 or more",$5000 TO 5999,3,2
2002,1942,.i:  Inapplicable,"$25,000 or more",.i:  Inapplicable,1,2
2002,1959,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1962,ABOVE AVERAGE,"$25,000 or more",LT $1000,2,2
2002,1963,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,1967,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2002,1983,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,1990,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,2
2002,2013,AVERAGE,"$25,000 or more",$25000 OR MORE,1,4
2002,2026,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,2027,AVERAGE,"$25,000 or more",$25000 OR MORE,2,7
2002,2028,BELOW AVERAGE,"$20,000 to $24,999",$5000 TO 5999,2,5
2002,2061,AVERAGE,"$25,000 or more",$25000 OR MORE,3,2
2002,2067,AVERAGE,"$25,000 or more",$10000 - 14999,2,4
2002,2081,BELOW AVERAGE,.r:  Refused,.r:  Refused,2,15
2002,2094,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,2139,AVERAGE,"$25,000 or more",$25000 OR MORE,3,8
2002,2143,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,2159,BELOW AVERAGE,"$20,000 to $24,999",$20000 - 24999,1,5
2002,2168,ABOVE AVERAGE,"$15,000 to $19,999",$8000 TO 9999,2,2
2002,2172,AVERAGE,.r:  Refused,.r:  Refused,3,NA
2002,2188,AVERAGE,"$25,000 or more",$15000 - 19999,3,15
2002,2202,ABOVE AVERAGE,"Under $1,000",LT $1000,2,21
2002,2203,AVERAGE,"$8,000 to $9,999",$8000 TO 9999,3,15
2002,2209,BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,3
2002,2217,BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,1
2002,2218,.i:  Inapplicable,"$8,000 to $9,999",.i:  Inapplicable,2,4
2002,2225,AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,2
2002,2226,BELOW AVERAGE,"$25,000 or more",$15000 - 19999,2,5
2002,2228,BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,3
2002,2230,AVERAGE,"$25,000 or more",$15000 - 19999,3,7
2002,2260,BELOW AVERAGE,"$15,000 to $19,999",$15000 - 19999,1,15
2002,2268,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,2
2002,2281,AVERAGE,"$15,000 to $19,999",$15000 - 19999,1,7
2002,2287,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,2288,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,2292,.i:  Inapplicable,"$25,000 or more",.i:  Inapplicable,3,1
2002,2304,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2002,2320,AVERAGE,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,3,5
2002,2323,AVERAGE,"$5,000 to $5,999",$5000 TO 5999,2,3
2002,2326,ABOVE AVERAGE,"$25,000 or more",$20000 - 24999,3,15
2002,2329,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,2334,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,2335,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,2343,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,2349,AVERAGE,"$15,000 to $19,999",$15000 - 19999,1,NA
2002,2358,.i:  Inapplicable,"$20,000 to $24,999",.i:  Inapplicable,3,7
2002,2384,AVERAGE,"$15,000 to $19,999",$1000 TO 2999,3,15
2002,2388,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,2393,BELOW AVERAGE,"$10,000 to $14,999",$10000 - 14999,2,4
2002,2399,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,2400,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
